feature,perm_importance_mean,perm_importance_std
Age,0.011790468750000033,0.008336497065626256
Gender,0.007850781250000044,0.00207921109424079
Family Heart Disease,0.007183906250000033,0.002045179886122893
Fasting Blood Sugar,0.00701609375000003,0.00605103753088636
Exercise Habits,0.004617968750000023,0.0038104844986245274
Sugar Consumption,0.004435000000000022,0.004604759935382084
Homocysteine Level,0.003891250000000035,0.007502304665432418
High Blood Pressure,0.0018971874999999972,0.002944082617885821
Low HDL Cholesterol,0.0006790625000000161,0.0033390593706115494
Sleep Hours,0.0004248437500000479,0.006679482579093547
Diabetes,-9.015624999996751e-05,0.00244554751765998
High LDL Cholesterol,-0.00027531249999998564,0.0034247641056994625
Smoking,-0.0010860937499999612,0.0029010845771250448
Triglyceride Level,-0.0016159374999999809,0.005577474743261387
CRP Level,-0.0022607812499999603,0.006735362726651779
Blood Pressure,-0.0024348437499999874,0.00833257075433366
Stress Level,-0.002583906249999962,0.0035052119431785464
Alcohol Consumption,-0.003348593749999973,0.003578215367990941
Cholesterol Level,-0.00874312499999994,0.004930171885869575
BMI,-0.015902343749999964,0.007943443218223005
