Feature,Coefficient,Odds_Ratio
BMI,0.07069109235556909,1.0732496396381666
Gender,-0.04926264417456138,0.9519310777104487
Stress Level,0.04294313292829918,1.0438785308474394
Age,-0.032477498971119845,0.9680442315774612
Sugar Consumption,0.03171650033729244,1.0322248284294828
High LDL Cholesterol,0.01707729109098698,1.0172239416351425
Smoking,0.014168948700567263,1.0142698040292348
Sleep Hours,-0.011695168276491072,0.9883729543767651
Fasting Blood Sugar,-0.0077626967678279665,0.9922673551511382
Homocysteine Level,0.006711794380747431,1.0067343689496795
Blood Pressure,-0.0051582410438390635,0.9948550398363546
Low HDL Cholesterol,0.002178269497633206,1.0021806436501703
Family Heart Disease,-0.0013383853457318996,0.9986625098924992
Cholesterol Level,0.0,1.0
Exercise Habits,0.0,1.0
Diabetes,0.0,1.0
High Blood Pressure,0.0,1.0
Alcohol Consumption,0.0,1.0
Triglyceride Level,0.0,1.0
CRP Level,0.0,1.0
